# Carlos (imagen 2)
1,2,0
2,2,1
3,1,0
4,2,1
5,0,1
6,1,2
7,1,1
8,0,2
9,2,2
10,2,0
11,1,1
12,2,1
13,2,1
14,0,2
15,3,0
16,0,1
17,2,2
18,4,1
19,1,1
20,0,1
21,2,0
22,1,0
23,1,1
24,1,0
25,3,0
26,1,1
27,2,1
28,0,3
29,1,2
30,0,2
31,2,1
32,1,0
33,2,0
34,1,0
35,0,2
36,1,2
37,2,1
38,2,0
39,1,0
40,3,1
41,2,2
42,0,3
43,3,0
44,1,1
45,2,1
46,0,2
47,0,2
48,0,2
49,2,0
50,0,2
51,2,0
52,1,0
53,0,2
54,1,0
55,2,0
56,2,0
57,1,1
58,2,1
59,0,1
60,0,1
61,2,0
62,0,3
63,3,1
64,0,2
65,4,2
66,1,0
67,1,2
68,1,0
69,1,0
70,2,0
71,0,3
72,2,1
