# Imagen 1 (sin nombre visible)
1,2,1
2,1,1
3,2,2
4,1,0
5,2,3
6,0,2
7,1,1
8,0,2
9,1,1
10,0,1
11,3,2
12,0,0
13,1,2
14,0,3
15,4,0
16,0,1
17,2,2
18,3,1
19,0,0
20,0,1
21,1,0
22,2,1
23,1,1
24,1,0
25,6,0
26,1,2
27,3,1
28,0,3
29,1,2
30,1,3
31,1,0
32,1,0
33,2,1
34,1,1
35,0,2
36,1,2
37,2,1
38,2,0
39,1,0
40,3,1
41,2,2
42,0,3
43,3,0
44,1,0
45,2,1
46,1,2
47,0,2
48,0,2
49,2,0
50,0,2
51,2,0
52,1,0
53,0,2
54,1,0
55,2,0
56,3,1
57,0,1
58,1,1
59,0,1
60,1,2
61,2,0
62,0,2
63,3,1
64,0,2
65,4,2
66,1,0
67,1,2
68,1,0
69,1,0
70,2,0
71,0,3
72,2,1
