# Jose Cuinas
1,3,1
2,2,0
3,1,2
4,2,1
5,0,2
6,1,0
7,0,1
8,1,1
9,2,1
10,6,2
11,2,1
12,0,3
13,1,2
14,0,1
15,3,0
16,1,0
17,0,2
18,2,0
19,1,2
20,1,1
21,2,1
22,2,2
23,3,0
24,3,0
25,3,0
26,2,3
27,2,1
28,0,3
29,2,2
30,0,2
31,2,1
32,2,1
33,1,1
34,2,1
35,0,2
36,1,2
37,2,1
38,1,1
39,1,0
40,1,0
41,1,2
42,0,2
43,3,1
44,1,2
45,2,1
46,1,3
47,1,2
48,0,2
49,2,1
50,1,1
51,3,0
52,1,2
53,0,3
54,3,1
55,1,0
56,3,1
57,0,1
58,3,0
59,0,4
60,2,1
61,4,1
62,1,3
63,3,0
64,0,2
65,4,2
66,1,0
67,1,2
68,1,0
69,2,1
70,3,0
71,0,2
72,2,1
